timestamp,laptop_time,pi_time,drift_ms,drift_seconds,cumulative_drift_seconds,drift_rate_seconds_per_hour,check_number
2025-09-26T19:32:34.886Z,2025-09-26T19:32:34.886Z,2025-09-26T19:32:35.235Z,349,0.349,0.349,2.0940,1
2025-09-26T19:42:36.125Z,2025-09-26T19:42:36.125Z,2025-09-26T19:42:36.424Z,299,0.299,0.299,0.8970,2
2025-09-26T19:52:37.316Z,2025-09-26T19:52:37.316Z,2025-09-26T19:52:37.618Z,302,0.302,0.302,0.6040,3
2025-09-26T20:02:38.513Z,2025-09-26T20:02:38.513Z,2025-09-26T20:02:38.879Z,366,0.366,0.366,0.5490,4
2025-09-26T20:12:39.774Z,2025-09-26T20:12:39.774Z,2025-09-26T20:12:40.351Z,577,0.577,0.577,0.6924,5
2025-09-26T20:22:41.246Z,2025-09-26T20:22:41.246Z,2025-09-26T20:22:41.588Z,342,0.342,0.342,0.3420,6
2025-09-26T20:32:42.485Z,2025-09-26T20:32:42.485Z,2025-09-26T20:32:42.711Z,226,0.226,0.226,0.1937,7
2025-09-26T20:42:43.611Z,2025-09-26T20:42:43.611Z,2025-09-26T20:42:43.963Z,352,0.352,0.352,0.2640,8
2025-09-26T20:52:44.867Z,2025-09-26T20:52:44.867Z,2025-09-26T20:52:45.254Z,387,0.387,0.387,0.2580,9
2025-09-26T21:02:46.160Z,2025-09-26T21:02:46.160Z,2025-09-26T21:02:46.422Z,262,0.262,0.262,0.1572,10
2025-09-26T21:12:47.332Z,2025-09-26T21:12:47.332Z,2025-09-26T21:12:47.647Z,315,0.315,0.315,0.1718,11
2025-09-26T21:22:48.561Z,2025-09-26T21:22:48.561Z,2025-09-26T21:22:48.848Z,287,0.287,0.287,0.1435,12
2025-09-26T21:32:49.767Z,2025-09-26T21:32:49.767Z,2025-09-26T21:32:50.108Z,341,0.341,0.341,0.1574,13
2025-09-26T21:42:51.030Z,2025-09-26T21:42:51.030Z,2025-09-26T21:42:51.405Z,375,0.375,0.375,0.1607,14
2025-09-26T21:52:52.330Z,2025-09-26T21:52:52.330Z,2025-09-26T21:52:52.587Z,257,0.257,0.257,0.1028,15
2025-09-26T22:02:53.515Z,2025-09-26T22:02:53.515Z,2025-09-26T22:02:53.774Z,259,0.259,0.259,0.0971,16
2025-09-26T22:12:54.703Z,2025-09-26T22:12:54.703Z,2025-09-26T22:12:54.893Z,190,0.190,0.190,0.0671,17
2025-09-26T22:22:55.823Z,2025-09-26T22:22:55.823Z,2025-09-26T22:22:56.148Z,325,0.325,0.325,0.1083,18
2025-09-26T22:32:57.078Z,2025-09-26T22:32:57.078Z,2025-09-26T22:32:57.275Z,197,0.197,0.197,0.0622,19
2025-09-26T22:42:58.209Z,2025-09-26T22:42:58.209Z,2025-09-26T22:42:58.630Z,421,0.421,0.421,0.1263,20
2025-09-26T22:52:59.567Z,2025-09-26T22:52:59.567Z,2025-09-26T22:52:59.853Z,286,0.286,0.286,0.0817,21
2025-09-26T23:03:00.791Z,2025-09-26T23:03:00.791Z,2025-09-26T23:03:01.004Z,213,0.213,0.213,0.0581,22
2025-09-26T23:13:01.946Z,2025-09-26T23:13:01.946Z,2025-09-26T23:13:02.232Z,286,0.286,0.286,0.0746,23
2025-09-26T23:23:03.180Z,2025-09-26T23:23:03.180Z,2025-09-26T23:23:03.387Z,207,0.207,0.207,0.0517,24
2025-09-26T23:33:04.337Z,2025-09-26T23:33:04.337Z,2025-09-26T23:33:04.673Z,336,0.336,0.336,0.0806,25
2025-09-26T23:43:05.628Z,2025-09-26T23:43:05.628Z,2025-09-26T23:43:05.860Z,232,0.232,0.232,0.0535,26
2025-09-26T23:53:06.819Z,2025-09-26T23:53:06.819Z,2025-09-26T23:53:06.971Z,152,0.152,0.152,0.0338,27
2025-09-27T00:03:07.932Z,2025-09-27T00:03:07.932Z,2025-09-27T00:03:08.233Z,301,0.301,0.301,0.0645,28
2025-09-27T00:13:09.198Z,2025-09-27T00:13:09.198Z,2025-09-27T00:13:09.356Z,158,0.158,0.158,0.0327,29
