timestamp,laptop_time,pi_time,drift_ms,drift_seconds,cumulative_drift_seconds,drift_rate_seconds_per_hour,check_number
2025-09-24T17:50:22.650Z,2025-09-24T17:50:22.650Z,2025-09-24T17:50:22.703Z,53,0.053,0.053,0.3180,1
2025-09-24T18:00:23.913Z,2025-09-24T18:00:23.913Z,2025-09-24T18:00:23.992Z,79,0.079,0.079,0.2370,2
2025-09-24T18:10:25.201Z,2025-09-24T18:10:25.201Z,2025-09-24T18:10:25.177Z,-24,-0.024,-0.024,-0.0480,3
2025-09-24T18:20:26.366Z,2025-09-24T18:20:26.366Z,2025-09-24T18:20:26.369Z,3,0.003,0.003,0.0045,4
2025-09-24T18:30:27.546Z,2025-09-24T18:30:27.546Z,2025-09-24T18:30:27.735Z,189,0.189,0.189,0.2268,5
